date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:20	305635/305635	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Mar%202025%2013:15:22%20GMT	https://apa.baldeaiy.gouer.us/Eservice/HeathIssue/PrintedLicens?uuid=dd5d3a69-07c5-467f-8d56-30393de72e73	C:/My%20Web%20Sites/my%20new/apa.baldeaiy.gouer.us/Eservice/HeathIssue/PrintedLicens7830.html	(from )
16:15:21	52/52	---MCZ	200	added ('OK')	text/plain	date:Thu,%2017%20Nov%202022%2022:20:00%20GMT	https://apa.baldeaiy.gouer.us/robots.txt		(from )
16:15:21	3179/3179	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2000:16:28%20GMT	https://apa.baldeaiy.gouer.us/static/fav.png	C:/My%20Web%20Sites/my%20new/apa.baldeaiy.gouer.us/static/fav.png	(from https://apa.baldeaiy.gouer.us/Eservice/HeathIssue/PrintedLicens?uuid=dd5d3a69-07c5-467f-8d56-30393de72e73)
16:15:21	70117/70117	---MCZ	200	added ('OK')	text/css	date:Sat,%2003%20Aug%202024%2000:16:18%20GMT	https://apa.baldeaiy.gouer.us/static/all.css	C:/My%20Web%20Sites/my%20new/apa.baldeaiy.gouer.us/static/all.css	(from https://apa.baldeaiy.gouer.us/Eservice/HeathIssue/PrintedLicens?uuid=dd5d3a69-07c5-467f-8d56-30393de72e73)
16:15:21	15180/15180	---MCZ	200	added ('OK')	text/css	date:Sat,%2003%20Aug%202024%2000:16:36%20GMT	https://apa.baldeaiy.gouer.us/static/select2.min.css	C:/My%20Web%20Sites/my%20new/apa.baldeaiy.gouer.us/static/select2.min.css	(from https://apa.baldeaiy.gouer.us/Eservice/HeathIssue/PrintedLicens?uuid=dd5d3a69-07c5-467f-8d56-30393de72e73)
16:15:21	35016/35016	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20Nov%202024%2006:54:42%20GMT	https://apa.baldeaiy.gouer.us/static/enhancement.css?v=515341	C:/My%20Web%20Sites/my%20new/apa.baldeaiy.gouer.us/static/enhancement5ae8.css	(from https://apa.baldeaiy.gouer.us/Eservice/HeathIssue/PrintedLicens?uuid=dd5d3a69-07c5-467f-8d56-30393de72e73)
16:15:22	188592/188592	---MCZ	200	added ('OK')	text/css	date:Sat,%2003%20Aug%202024%2000:16:56%20GMT	https://apa.baldeaiy.gouer.us/static/bootstrap.min.css	C:/My%20Web%20Sites/my%20new/apa.baldeaiy.gouer.us/static/bootstrap.min.css	(from https://apa.baldeaiy.gouer.us/Eservice/HeathIssue/PrintedLicens?uuid=dd5d3a69-07c5-467f-8d56-30393de72e73)
16:15:22	105756/105756	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Jan%202025%2016:36:00%20GMT	https://apa.baldeaiy.gouer.us/static/app.min.css	C:/My%20Web%20Sites/my%20new/apa.baldeaiy.gouer.us/static/app.min.css	(from https://apa.baldeaiy.gouer.us/Eservice/HeathIssue/PrintedLicens?uuid=dd5d3a69-07c5-467f-8d56-30393de72e73)
16:15:22	415/415	---MCZ	200	added ('OK')	text/css	date:Sat,%2003%20Aug%202024%2000:17:04%20GMT	https://apa.baldeaiy.gouer.us/static/Validation.css	C:/My%20Web%20Sites/my%20new/apa.baldeaiy.gouer.us/static/Validation.css	(from https://apa.baldeaiy.gouer.us/Eservice/HeathIssue/PrintedLicens?uuid=dd5d3a69-07c5-467f-8d56-30393de72e73)
16:15:22	5337/5337	---MCZ	200	added ('OK')	text/css	date:Sat,%2003%20Aug%202024%2000:17:12%20GMT	https://apa.baldeaiy.gouer.us/static/style.css	C:/My%20Web%20Sites/my%20new/apa.baldeaiy.gouer.us/static/style.css	(from https://apa.baldeaiy.gouer.us/Eservice/HeathIssue/PrintedLicens?uuid=dd5d3a69-07c5-467f-8d56-30393de72e73)
